text,label
"Some good moments, but overall not great.",0
"A waste of time, don't bother watching.",0
"The ending was disappointing, could have been better.",1
The plot was confusing and poorly executed.,0
"The ending was disappointing, could have been better.",1
"An amazing experience, highly recommend it.",0
The plot was confusing and poorly executed.,0
"Simply amazing, one of the best I've ever seen.",0
The plot was confusing and poorly executed.,0
"An amazing experience, highly recommend it.",1
The actors delivered outstanding performances!,1
"A masterpiece, I would watch it again.",1
"A masterpiece, I would watch it again.",1
"Some good moments, but overall not great.",0
"A masterpiece, I would watch it again.",1
"A waste of time, don't bother watching.",1
"The ending was disappointing, could have been better.",0
"Simply amazing, one of the best I've ever seen.",1
"A waste of time, don't bother watching.",0
"The ending was disappointing, could have been better.",0
"A masterpiece, I would watch it again.",1
The plot was confusing and poorly executed.,1
The actors delivered outstanding performances!,0
"I absolutely loved the movie, it was fantastic!",0
"The movie was slow and boring, not worth watching.",1
"An amazing experience, highly recommend it.",0
"The ending was disappointing, could have been better.",1
"A masterpiece, I would watch it again.",0
"A waste of time, don't bother watching.",0
"An amazing experience, highly recommend it.",0
"Simply amazing, one of the best I've ever seen.",1
"The movie was slow and boring, not worth watching.",0
The actors delivered outstanding performances!,1
"A waste of time, don't bother watching.",1
"An amazing experience, highly recommend it.",1
"I absolutely loved the movie, it was fantastic!",0
"A waste of time, don't bother watching.",0
"An amazing experience, highly recommend it.",1
The plot was confusing and poorly executed.,0
The plot was confusing and poorly executed.,0
The plot was confusing and poorly executed.,1
"A masterpiece, I would watch it again.",1
The plot was confusing and poorly executed.,1
"The ending was disappointing, could have been better.",0
The plot was confusing and poorly executed.,0
The actors delivered outstanding performances!,1
"A waste of time, don't bother watching.",1
"The movie was slow and boring, not worth watching.",1
"The ending was disappointing, could have been better.",0
"Some good moments, but overall not great.",0
"A waste of time, don't bother watching.",0
The actors delivered outstanding performances!,0
"The ending was disappointing, could have been better.",0
"I absolutely loved the movie, it was fantastic!",0
"The movie was slow and boring, not worth watching.",0
"The movie was slow and boring, not worth watching.",1
"A waste of time, don't bother watching.",1
"Simply amazing, one of the best I've ever seen.",0
"Some good moments, but overall not great.",0
The actors delivered outstanding performances!,0
"Simply amazing, one of the best I've ever seen.",0
"The movie was slow and boring, not worth watching.",1
"I absolutely loved the movie, it was fantastic!",1
"An amazing experience, highly recommend it.",0
"A waste of time, don't bother watching.",1
"A masterpiece, I would watch it again.",0
"The movie was slow and boring, not worth watching.",1
"Some good moments, but overall not great.",0
"I absolutely loved the movie, it was fantastic!",1
"A masterpiece, I would watch it again.",1
The plot was confusing and poorly executed.,1
"The movie was slow and boring, not worth watching.",1
The plot was confusing and poorly executed.,1
"Some good moments, but overall not great.",0
"I absolutely loved the movie, it was fantastic!",0
The plot was confusing and poorly executed.,0
"Some good moments, but overall not great.",1
"I absolutely loved the movie, it was fantastic!",0
"A masterpiece, I would watch it again.",0
The plot was confusing and poorly executed.,0
"An amazing experience, highly recommend it.",0
"Simply amazing, one of the best I've ever seen.",1
"An amazing experience, highly recommend it.",1
"Simply amazing, one of the best I've ever seen.",0
"A masterpiece, I would watch it again.",0
"The ending was disappointing, could have been better.",0
The actors delivered outstanding performances!,0
"A masterpiece, I would watch it again.",0
"The movie was slow and boring, not worth watching.",1
"A waste of time, don't bother watching.",1
"An amazing experience, highly recommend it.",1
"A waste of time, don't bother watching.",1
"An amazing experience, highly recommend it.",0
"A masterpiece, I would watch it again.",0
"An amazing experience, highly recommend it.",0
"Some good moments, but overall not great.",0
"I absolutely loved the movie, it was fantastic!",1
"The ending was disappointing, could have been better.",1
"The ending was disappointing, could have been better.",1
The actors delivered outstanding performances!,0
"A masterpiece, I would watch it again.",0
"The movie was slow and boring, not worth watching.",1
"Simply amazing, one of the best I've ever seen.",0
"The movie was slow and boring, not worth watching.",0
"I absolutely loved the movie, it was fantastic!",1
"An amazing experience, highly recommend it.",1
"The movie was slow and boring, not worth watching.",0
"I absolutely loved the movie, it was fantastic!",1
"A waste of time, don't bother watching.",1
"I absolutely loved the movie, it was fantastic!",1
"I absolutely loved the movie, it was fantastic!",1
"The movie was slow and boring, not worth watching.",1
"The movie was slow and boring, not worth watching.",1
"A masterpiece, I would watch it again.",0
"The ending was disappointing, could have been better.",1
"The ending was disappointing, could have been better.",0
"An amazing experience, highly recommend it.",1
The plot was confusing and poorly executed.,0
"A waste of time, don't bother watching.",0
"A masterpiece, I would watch it again.",1
The plot was confusing and poorly executed.,0
The actors delivered outstanding performances!,0
"The ending was disappointing, could have been better.",0
"Simply amazing, one of the best I've ever seen.",1
"The movie was slow and boring, not worth watching.",0
The actors delivered outstanding performances!,1
"Some good moments, but overall not great.",1
"The ending was disappointing, could have been better.",1
"A masterpiece, I would watch it again.",1
"The ending was disappointing, could have been better.",1
"Simply amazing, one of the best I've ever seen.",1
"The movie was slow and boring, not worth watching.",1
"The movie was slow and boring, not worth watching.",0
The plot was confusing and poorly executed.,0
"The ending was disappointing, could have been better.",1
"The ending was disappointing, could have been better.",0
"The movie was slow and boring, not worth watching.",0
"A waste of time, don't bother watching.",1
"An amazing experience, highly recommend it.",0
"A masterpiece, I would watch it again.",1
"The ending was disappointing, could have been better.",0
The plot was confusing and poorly executed.,1
"An amazing experience, highly recommend it.",0
The actors delivered outstanding performances!,0
"Simply amazing, one of the best I've ever seen.",0
"Simply amazing, one of the best I've ever seen.",1
"A waste of time, don't bother watching.",1
"I absolutely loved the movie, it was fantastic!",1
"Some good moments, but overall not great.",0
The actors delivered outstanding performances!,0
"Some good moments, but overall not great.",1
"A masterpiece, I would watch it again.",0
"A masterpiece, I would watch it again.",1
"The movie was slow and boring, not worth watching.",1
